playerName,sal,team,opp,proj,actual
Jonathan Quick,8200,LAK,VAN,6.08,12.0
John Gibson,8100,ANA,STL,5.91,-0.2
Martin Jones,8300,SJS,DET,5.66,4.6
Roberto Luongo,8400,FLO,OTT,5.4,-1.0
Marc-Andre Fleury,8000,VGK,PHI,5.21,8.6
Petr Mrazek,7300,PHI,VGK,4.97,2.2
Sergei Bobrovsky,8500,CBJ,MTL,4.85,8.6
Jimmy Howard,6800,DET,SJS,4.72,1.8
Philipp Grubauer,7300,WSH,WPJ,4.66,6.2
Connor Hellebuyck,7900,WPJ,WSH,4.44,5.0
Craig Anderson,6900,OTT,FLO,4.42,7.0
Alexandar Georgiev,7200,NYR,CAR,4.35,8.2
Charlie Lindgren,6800,MTL,CBJ,4.21,-1.0
Jake Allen,7200,STL,ANA,4.16,5.0
Anders Nilsson,7000,VAN,LAK,4.11,3.0
Scott Darling,7800,CAR,NYR,4.0,-0.6
