playerName,sal,pos,team,opp,line,ppLine,proj,actual
Connor McDavid,7600,C,EDM,TBL,1,1,5.61,2.0
Nikita Kucherov,8000,RW,TBL,EDM,1,1,5.5,9.0
Nathan MacKinnon,7800,C,COL,DET,1,1,5.39,13.5
Steven Stamkos,7300,C,TBL,EDM,1,1,5.16,7.0
Victor Hedman,6200,D,TBL,EDM,5,1,5.05,4.5
Alex Ovechkin,7900,LW,WSH,PHI,1,1,4.95,6.0
John Tavares,7100,LW,NYI,CAR,1,1,4.69,8.0
Mikko Rantanen,6600,RW,COL,DET,1,1,4.42,5.5
Claude Giroux,6100,LW,PHI,WSH,1,1,4.39,2.0
Tyson Barrie,5800,D,COL,DET,5,1,4.27,5.5
William Karlsson,6800,C,VGK,CGY,1,1,4.24,12.5
Jonathan Marchessault,7000,LW,VGK,CGY,1,1,4.23,3.5
Sean Couturier,6600,C,PHI,WSH,1,1,4.21,6.0
Jakub Voracek,6000,RW,PHI,WSH,2,1,4.13,6.0
Johnny Gaudreau,6800,LW,CGY,VGK,1,1,3.96,2.0
Sebastian Aho,5900,LW,CAR,NYI,1,1,3.95,2.0
J.T. Miller,6300,LW,TBL,EDM,1,1,3.84,4.0
Shayne Gostisbehere,5600,D,PHI,WSH,5,1,3.83,5.5
John Carlson,6000,D,WSH,PHI,6,1,3.8,6.5
Brayden Point,6100,C,TBL,EDM,2,2,3.73,3.0
Gabriel Landeskog,5800,LW,COL,DET,1,1,3.66,8.0
Mathew Barzal,6400,C,NYI,CAR,1,1,3.65,2.5
Sean Monahan,6300,C,CGY,VGK,1,1,3.63,0.5
Justin Faulk,5100,D,CAR,NYI,6,1,3.63,4.0
Leon Draisaitl,5600,C,EDM,TBL,3,1,3.56,2.5
James Neal,5800,RW,VGK,CGY,1,1,3.5,3.5
Mark Giordano,5300,D,CGY,VGK,5,1,3.47,2.5
Teuvo Teravainen,5700,RW,CAR,NYI,1,1,3.44,2.5
Nicklas Backstrom,5800,C,WSH,PHI,2,1,3.41,4.5
Oscar Klefbom,5000,D,EDM,TBL,6,1,3.39,2.5
Erik Haula,6000,C,VGK,CGY,2,2,3.35,0.5
Dylan Larkin,5100,C,DET,COL,2,2,3.31,1.5
Anders Lee,5600,LW,NYI,CAR,2,1,3.29,8.0
Gustav Nyquist,4100,RW,DET,COL,1,1,3.28,1.0
Henrik Zetterberg,4700,C,DET,COL,1,1,3.27,2.0
David Perron,5500,LW,VGK,CGY,2,2,3.26,3.0
Dougie Hamilton,5400,D,CGY,VGK,5,1,3.26,2.5
Ivan Provorov,5200,D,PHI,WSH,5,2,3.24,5.5
Josh Bailey,5600,RW,NYI,CAR,2,1,3.24,7.5
Nick Leddy,4700,D,NYI,CAR,5,1,3.23,0.0
Yanni Gourde,5700,LW,TBL,EDM,2,2,3.1,0.5
Ryan Nugent-Hopkins,6200,LW,EDM,TBL,1,2,3.1,2.5
Jordan Staal,4900,C,CAR,NYI,1,1,3.09,1.5
Tyler Johnson,5300,RW,TBL,EDM,3,2,3.0,2.5
Jaccob Slavin,3900,D,CAR,NYI,5,2,2.94,6.0
Jordan Eberle,5200,RW,NYI,CAR,1,2,2.91,1.5
Justin Williams,4800,RW,CAR,NYI,2,2,2.88,1.5
Elias Lindholm,4500,C,CAR,NYI,2,1,2.8,1.5
Jeff Skinner,5400,LW,CAR,NYI,3,2,2.77,2.5
T.J. Oshie,5000,RW,WSH,PHI,2,1,2.67,1.0
Nate Schmidt,4000,D,VGK,CGY,5,2,2.62,6.5
Mike Green,3900,D,DET,COL,6,2,2.61,2.5
Wayne Simmonds,4900,RW,PHI,WSH,3,1,2.59,9.5
Anthony Mantha,4600,RW,DET,COL,2,2,2.59,2.0
Mikael Backlund,5400,C,CGY,VGK,2,2,2.58,2.5
Alex Killorn,3900,RW,TBL,EDM,2,1,2.56,1.0
Colin Miller,4600,D,VGK,CGY,6,2,2.56,5.5
