C,C,W,W,W,D,D,G,UTIL
Sean Couturier,Derek Stepan,Claude Giroux,Clayton Keller,Richard Panik,Keith Yandle,Oliver Ekman-Larsson,Braden Holtby,Jake Gardiner
Nathan MacKinnon,Carl Soderberg,Claude Giroux,Mikko Rantanen,Gabriel Landeskog,Oliver Ekman-Larsson,Jake Gardiner,Braden Holtby,Matt Nieto
Sean Couturier,Nicklas Backstrom,Claude Giroux,T.J. Oshie,Andre Burakovsky,Tyson Barrie,Oliver Ekman-Larsson,Braden Holtby,Dmitry Orlov
Sean Couturier,Carl Soderberg,Alex Ovechkin,Claude Giroux,Blake Comeau,Keith Yandle,Tyson Barrie,Braden Holtby,Matt Nieto
Sean Couturier,Nazem Kadri,Claude Giroux,Mitchell Marner,Patrick Marleau,Oliver Ekman-Larsson,Erik Johnson,Braden Holtby,Alex Goligoski
Sean Couturier,Mika Zibanejad,Claude Giroux,Chris Kreider,Jesper Fast,Tyson Barrie,Oliver Ekman-Larsson,Roberto Luongo,Erik Johnson
Auston Matthews,Sean Couturier,Claude Giroux,William Nylander,Zach Hyman,Morgan Rielly,Oliver Ekman-Larsson,Braden Holtby,Samuel Girard
Nathan MacKinnon,Sean Couturier,Mikko Rantanen,Gabriel Landeskog,Blake Comeau,Tyson Barrie,Dmitry Orlov,Marc-Andre Fleury,Matt Nieto
Nathan MacKinnon,Mika Zibanejad,Mikko Rantanen,Gabriel Landeskog,Chris Kreider,Oliver Ekman-Larsson,Alex Goligoski,Roberto Luongo,Brady Skjei
Sean Couturier,J.T. Compher,Claude Giroux,Travis Konecny,Tyson Jost,John Carlson,Shayne Gostisbehere,Braden Holtby,Oliver Ekman-Larsson
Nathan MacKinnon,Sean Couturier,Claude Giroux,Gabriel Landeskog,Travis Konecny,Dmitry Orlov,Alex Goligoski,Braden Holtby,Samuel Girard
Sean Couturier,Mika Zibanejad,Claude Giroux,Chris Kreider,Travis Konecny,Keith Yandle,Dmitry Orlov,Marc-Andre Fleury,Brady Skjei
Nathan MacKinnon,J.T. Compher,Mikko Rantanen,Gabriel Landeskog,Tyson Jost,Shayne Gostisbehere,Erik Johnson,Braden Holtby,Dmitry Orlov
Nathan MacKinnon,Sean Couturier,Claude Giroux,Travis Konecny,Blake Comeau,Erik Johnson,Jake Gardiner,Marc-Andre Fleury,Carl Soderberg
Vincent Trocheck,Sean Couturier,Claude Giroux,Jonathan Huberdeau,Blake Comeau,Oliver Ekman-Larsson,Aaron Ekblad,Braden Holtby,Denis Malgin
Sean Couturier,Nolan Patrick,Claude Giroux,Jakub Voracek,Oskar Lindblom,Shayne Gostisbehere,Tyson Barrie,Braden Holtby,Jake Gardiner
Aleksander Barkov,Sean Couturier,Claude Giroux,Tyson Jost,Alexander Kerfoot,Keith Yandle,Tyson Barrie,Marc-Andre Fleury,J.T. Compher
Nathan MacKinnon,Nolan Patrick,Mikko Rantanen,Jakub Voracek,Oskar Lindblom,Keith Yandle,Oliver Ekman-Larsson,Braden Holtby,Dmitry Orlov
Nathan MacKinnon,Sean Couturier,Claude Giroux,Mikko Rantanen,Travis Konecny,Oliver Ekman-Larsson,Brady Skjei,Henrik Lundqvist,Jimmy Vesey
Nathan MacKinnon,Derek Stepan,Gabriel Landeskog,Clayton Keller,Richard Panik,Tyson Barrie,Oliver Ekman-Larsson,Roberto Luongo,Dmitry Orlov
Nathan MacKinnon,Auston Matthews,Mikko Rantanen,Gabriel Landeskog,Zach Hyman,Jake Gardiner,Brady Skjei,Marc-Andre Fleury,Samuel Girard
Nathan MacKinnon,Nazem Kadri,Mikko Rantanen,Gabriel Landeskog,Patrick Marleau,Tyson Barrie,Oliver Ekman-Larsson,Henrik Lundqvist,Samuel Girard
Auston Matthews,Mika Zibanejad,William Nylander,Chris Kreider,Zach Hyman,Tyson Barrie,Erik Johnson,Marc-Andre Fleury,Dmitry Orlov
Nathan MacKinnon,Christian Dvorak,Mikko Rantanen,Gabriel Landeskog,Max Domi,Keith Yandle,Morgan Rielly,Braden Holtby,Alex Goligoski
Nicklas Backstrom,Nazem Kadri,Mitchell Marner,T.J. Oshie,Patrick Marleau,Keith Yandle,Jake Gardiner,Braden Holtby,Dmitry Orlov
Sean Couturier,Christian Dvorak,Claude Giroux,Mikko Rantanen,Travis Konecny,Tyson Barrie,Erik Johnson,Braden Holtby,Max Domi
Nathan MacKinnon,Nicklas Backstrom,Gabriel Landeskog,T.J. Oshie,Andre Burakovsky,Erik Johnson,Jake Gardiner,Braden Holtby,Alex Goligoski
Sean Couturier,Derek Stepan,Claude Giroux,Clayton Keller,Travis Konecny,Erik Johnson,Aaron Ekblad,Roberto Luongo,Dmitry Orlov
Sean Couturier,Nazem Kadri,Claude Giroux,Mitchell Marner,Travis Konecny,Tyson Barrie,Neal Pionk,Marc-Andre Fleury,Samuel Girard
Aleksander Barkov,Evgeny Kuznetsov,Alex Ovechkin,Blake Comeau,Matt Nieto,Morgan Rielly,Jake Gardiner,Marc-Andre Fleury,Carl Soderberg
