C,C,W,W,W,W,D,D,G,PROJ,ACTUAL
Nathan MacKinnon,Sean Couturier,Claude Giroux,Mikko Rantanen,Jakub Voracek,Gabriel Landeskog,Oliver Ekman-Larsson,Dmitry Orlov,Braden Holtby,37.35,24.5
Evgeny Kuznetsov,Sean Couturier,Alex Ovechkin,Claude Giroux,Travis Konecny,Zach Hyman,Keith Yandle,Oliver Ekman-Larsson,Braden Holtby,36.5,34.5
Nathan MacKinnon,Mika Zibanejad,Claude Giroux,Mikko Rantanen,Gabriel Landeskog,Chris Kreider,Morgan Rielly,Jake Gardiner,Marc-Andre Fleury,36.41,23.3
Nathan MacKinnon,Sean Couturier,Claude Giroux,Mikko Rantanen,Travis Konecny,Tyson Jost,Keith Yandle,Tyson Barrie,Marc-Andre Fleury,36.22,21.3
Nathan MacKinnon,Nicklas Backstrom,Mikko Rantanen,Gabriel Landeskog,T.J. Oshie,Zach Hyman,Keith Yandle,Tyson Barrie,Braden Holtby,36.17,29.0
Auston Matthews,Sean Couturier,Claude Giroux,Jakub Voracek,William Nylander,Zach Hyman,John Carlson,Tyson Barrie,Braden Holtby,36.12,30.0
Nathan MacKinnon,Nazem Kadri,Claude Giroux,Mikko Rantanen,Mitchell Marner,Patrick Marleau,Keith Yandle,Jake Gardiner,Braden Holtby,35.98,36.0
Nathan MacKinnon,Evgeny Kuznetsov,Alex Ovechkin,Mikko Rantanen,Gabriel Landeskog,Jimmy Vesey,Oliver Ekman-Larsson,Erik Johnson,Roberto Luongo,35.94,26.2
Evgeny Kuznetsov,Nazem Kadri,Alex Ovechkin,Jakub Voracek,Mitchell Marner,Patrick Marleau,Tyson Barrie,Oliver Ekman-Larsson,Braden Holtby,35.9,35.0
Nathan MacKinnon,Derek Stepan,Alex Ovechkin,Mikko Rantanen,Gabriel Landeskog,Clayton Keller,Jake Gardiner,Alex Goligoski,Braden Holtby,35.88,26.5
