playerName,sal,pos,team,opp,line,ppLine,proj,actual
Sidney Crosby,8000,C,PIT,WPJ,1,1,5.93,0.5
Kris Letang,6400,D,PIT,WPJ,5,1,5.44,4.0
Alex Ovechkin,7700,LW,WSH,CGY,1,1,5.27,1.5
Evgeni Malkin,7200,C,PIT,WPJ,2,1,4.84,5.0
Phil Kessel,6800,RW,PIT,WPJ,3,1,4.6,4.0
Johnny Gaudreau,7200,LW,CGY,WSH,1,1,4.33,5.0
John Carlson,5200,D,WSH,CGY,5,1,4.26,1.0
Ryan Getzlaf,6900,C,ANA,CAR,1,1,4.24,0.5
Evgeny Kuznetsov,6700,C,WSH,CGY,1,1,4.04,2.0
Mark Giordano,5500,D,CGY,WSH,5,2,4.01,3.0
Sean Monahan,6800,C,CGY,WSH,1,1,3.8,5.5
Rickard Rakell,6300,LW,ANA,CAR,1,1,3.78,0.5
T.J. Brodie,5000,D,CGY,WSH,6,1,3.73,0.5
Patric Hornqvist,4900,RW,PIT,WPJ,2,1,3.72,3.0
Nicklas Backstrom,6200,C,WSH,CGY,2,1,3.63,1.0
T.J. Oshie,6200,RW,WSH,CGY,2,1,3.48,4.5
Jake Guentzel,6000,LW,PIT,WPJ,3,2,3.44,1.5
Blake Wheeler,6700,RW,WPJ,PIT,1,1,3.42,14.0
Mark Scheifele,6500,C,WPJ,PIT,1,1,3.42,7.5
Dougie Hamilton,4600,D,CGY,WSH,5,2,3.32,2.0
Justin Faulk,4500,D,CAR,ANA,6,1,3.27,6.0
Patrik Laine,7100,RW,WPJ,PIT,2,1,3.25,0.5
Jordan Staal,5200,C,CAR,ANA,1,1,3.18,4.5
Sebastian Aho,5100,LW,CAR,ANA,1,1,3.18,3.5
Dustin Byfuglien,5300,D,WPJ,PIT,6,1,3.17,3.5
Mikael Backlund,4700,C,CGY,WSH,2,2,3.15,1.5
Corey Perry,5800,RW,ANA,CAR,1,1,3.1,2.2
Bryan Rust,4600,LW,PIT,WPJ,1,2,3.05,0.5
Nikolaj Ehlers,6800,LW,WPJ,PIT,2,2,3.0,0.0
Conor Sheary,5300,RW,PIT,WPJ,1,2,2.97,0.0
Jeff Skinner,5900,LW,CAR,ANA,3,2,2.96,5.5
Jakob Silfverberg,5700,RW,ANA,CAR,2,2,2.92,5.0
Olli Maatta,4100,D,PIT,WPJ,6,2,2.8,2.5
Elias Lindholm,4700,RW,CAR,ANA,1,1,2.79,3.5
Matthew Tkachuk,4900,LW,CGY,WSH,2,2,2.75,2.0
Brian Dumoulin,3100,D,PIT,WPJ,5,2,2.59,1.0
Jacob Trouba,4700,D,WPJ,PIT,5,2,2.48,2.5
Michael Frolik,4200,RW,CGY,WSH,2,2,2.47,0.5
Brandon Montour,4200,D,ANA,CAR,6,1,2.34,1.5
Carl Hagelin,3400,LW,PIT,WPJ,2,0,2.23,1.0
Justin Williams,4500,RW,CAR,ANA,2,2,2.22,5.0
Noah Hanifin,3400,D,CAR,ANA,6,2,2.19,1.5
Andrew Cogliano,4400,LW,ANA,CAR,2,0,2.16,4.5
Antoine Vermette,4000,C,ANA,CAR,2,2,2.13,1.5
Teuvo Teravainen,4200,RW,CAR,ANA,2,1,2.11,2.5
Dmitry Orlov,3400,D,WSH,CGY,7,2,1.91,1.5
Victor Rask,3900,C,CAR,ANA,2,2,1.78,3.0
Bryan Little,4500,C,WPJ,PIT,2,2,1.75,0.5
Kris Versteeg,3800,RW,CGY,WSH,3,1,1.71,1.0
Micheal Ferland,4400,RW,CGY,WSH,1,0,1.7,6.0
Jakub Vrana,3700,RW,WSH,CGY,2,2,1.66,4.5
Ondrej Kase,4300,RW,ANA,CAR,3,1,1.62,4.5
Kyle Connor,4200,LW,WPJ,PIT,1,1,1.57,4.5
Christian Djoos,3500,D,WSH,CGY,5,2,1.43,1.0
Devante Smith-Pelly,3100,RW,WSH,CGY,1,0,1.43,1.0
Hampus Lindholm,3600,D,ANA,CAR,5,2,1.41,3.5
Troy Brouwer,3500,RW,CGY,WSH,3,1,1.4,1.5
Derek Ryan,3400,C,CAR,ANA,3,2,1.38,2.0
Tyler Myers,3400,D,WPJ,PIT,7,2,1.36,3.5
Riley Sheahan,3300,C,PIT,WPJ,3,0,1.3,1.5
Nick Ritchie,3600,LW,ANA,CAR,3,2,1.19,3.5
Lars Eller,3600,C,WSH,CGY,3,2,1.18,1.5
Matt Stajan,3000,C,CGY,WSH,3,0,0.99,0.0
Tom Wilson,3700,LW,WSH,CGY,3,2,0.94,0.5
Derek Grant,3500,C,ANA,CAR,3,2,0.9,3.5
Shawn Matthias,3000,RW,WPJ,PIT,3,0,0.76,5.5
Andrew Copp,3000,C,WPJ,PIT,3,0,0.76,4.0
Brandon Tanev,3100,LW,WPJ,PIT,3,0,0.71,1.0
Janne Kuokkanen,2800,RW,CAR,ANA,3,0,0.56,0.5
